ein,name,zip,zip5,nteefinal
330683684,CALIFORNIA INTERNATIONAL BUSINESS UNIVERSITY,92101-3537,92101,B43
952962604,CALIFORNIA LUTHERAN UNIVERSITY,91360-2700,91360,B43
800694871,CALIFORNIA PREPARATORY COLLEGE INC,92324-3956,92324,B41
453247157,CALIFORNIA REFORM FOUNDATION,93406-0000,93406,B40
810635281,CALIFORNIA REFORMED UNIVERSITY AND SEMINARY,95134-2300,95134,B43
461412959,CALIFORNIA STATE CHRISTIAN UNIVERSITY,91768-2621,91768,B43
954336007,CALIFORNIA UNIVERSITY OF BUSINESS AND TECHNOLOGY,91745-4765,91745,B43
260337511,CALIFORNIA UNIVERSITY SILICON VALLEY,94085-3875,94085,B43
952944594,CALIFORNIA WESTERN SCHOOL OF LAW,92101-3046,92101,B50
351087173,CALUMET COLLEGE,46394-2146,46394,B43
232004565,CALVARY BAPTIST THEOLOGICAL SEMINARY,19446-4718,19446,B50
436052681,CALVARY BIBLE COLLEGE,64147-1303,64147,B43
463745855,CALVARY CHAPEL UNIVERSITY INC,92111-0000,92111,B40
383071514,CALVIN COLLEGE,49546-4301,49546,B43
383001876,CALVIN THEOLOGICAL SEMINARY,49546-4301,49546,B50
204160221,CAMBRIAN HOMECARE COLLEGE,90804-3333,90804,B42
510163080,CAMBRIDGE COLLEGE INC,02138-5316,2138,B42
550753754,CAMC HEALTH EDUCATION AND RESEARCH INSTITUTE INC,25326-1547,25326,B50
260811975,CAMP UNIVERSITY,78501-8950,78501,B43
205010701,CAMPBELL BIBLE COLLEGE,29422-2567,29422,B42
560529940,CAMPBELL UNIVERSITY INC,27506-0097,27506,B43
610469267,CAMPBELLSVILLE UNIVERSITY INC,42718-2190,42718,B43
866042458,CAMPUS CHRISTIAN CENTER AT THE UNIVERSITY OF ARIZONA,85719-5037,85719,B43
610492351,CANEY CREEK COMMUNITY CENTER,41844-9005,41844,B42
160743942,CANISIUS COLLEGE,14208-1035,14208,B43
314379435,CAPITAL UNIVERSITY,43209-7812,43209,B43
520805606,CAPITOL COLLEGE,20708-9758,20708,B43
262630917,CAPSTONE UNIVERSITY,90034-8734,91016,B43
814396375,CARDEN MEMORIAL FOUNDATION,84106-3566,84106,B50
390806196,CARDINAL STRITCH UNIVERSITY INC,53217-3985,53217,B43
237409172,CARIBBEAN UNIVERSITY,00960-0493,960,B42
473338711,CARITAS SOCIETY OF ST JOHNS COLLEGE,21401-1687,21401,B42
410694747,CARLETON COLLEGE,55057-4001,55057,B42
237088831,CARLETON UNIVERSITY,00000-0000,0,B43
660234412,CARLOS ALBIZU UNIVERSITY,00902-3711,902,B43
250965438,CARLOW UNIVERSITY,15213-3109,15213,B43
250969449,CARNEGIE MELLON UNIVERSITY,15213-3815,15213,B43
204797359,CAROLINA CHRISTIAN BIBLE COLLEGE,28278-1013,28278,B42
566061483,CAROLINA CHRISTIAN COLLEGE INC,27102-0777,27102,B42
561388743,CAROLINA COLLEGE OF BIBLICAL STUDIES,28303-5157,28303,B42
562346980,CAROLINA GRADUATE UNIVERSITY,27417-0148,27417,B43
560594591,CAROLINA UNIVERSITY,27101-5025,27101,B43
810231774,CARROLL COLLEGE,59625-0002,59625,B42
390806325,CARROLL UNIVERSITY INC,53186-3103,53186,B43
620479189,CARSON NEWMAN UNIVERSITY,37760-2204,37760,B43
370661496,CARTHAGE COLLEGE,53140-1929,53140,B43
636053517,CARVER RESEARCH FOUNDATION OF TUSKEGEE UNIVERSITY,36088-0000,36088,B43
341018992,CASE WESTERN RESERVE UNIVERSITY,44106-3052,44106,B43
560530251,CATAWBA COLLEGE,28144-2441,28144,B43
541251090,CATHOLIC DISTANCE UNIVERSITY INC,25414-1634,25414,B43
530196583,CATHOLIC UNIVERSITY OF AMERICA,20064-0001,20064,B43
730685198,CATHOLIC UNIVERSITY OF OKLAHOMA,74804-2403,74804,B42
150543658,CAZENOVIA COLLEGE,13035-1084,13035,B42
231365953,CEDAR CREST COLLEGE,18104-6132,18104,B43
391894395,CEDAR RAPIDS MEDICAL EDUCATION FOUNDATION,52402-5036,52402,B50
474182913,CEDAR VALLEY SEMINARY FOUNDATION INC,50461-0334,50461,B50
061806720,CEHJ COSMETOLOGY & BARBERING ACADEMY,06002-2306,6002,B50
221500484,CENTENARY COLLEGE,07840-2184,7840,B43
720408915,CENTENARY COLLEGE OF LOUISIANA,,71104,B43
061661135,CENTER FOR HUMAN DEVELOPMENT,10010-6521,10010,B40
262023346,CENTER FOR PSYCHOTHERAPY AND PSYCHOANALYSIS OF NEW JERSEY INC,07940-2288,7940,B50
481249429,CENTER FOR VENTURE EDUCATION INC,78738-7140,78738,B50
222212290,CENTER OF THEOLOGICAL INQUIRY,08540-6813,8540,B50
410789397,CENTRAL BAPTIST THEOLOGICAL SEMINARY,55441-5934,55441,B50
480577656,CENTRAL CHRISTIAN COLLEGE OF KANSAS,67460-5740,67460,B42
430743910,CENTRAL CHRISTIAN COLLEGE OF THE BIBLE,65270-1923,65270,B42
570942616,CENTRAL CHRISTIAN UNIVERSITY OF SOUTH CAROLINA,29203-2714,29203,B43
420680344,CENTRAL COLLEGE,50219-1902,50219,B42
721204210,CENTRAL LOUISIANA AREA HEALTH EDUCATION CENTER,71303-5690,71303,B50
010356077,CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROF,04243-4500,4243,B41
430654854,CENTRAL METHODIST UNIVERSITY,65248-0000,65248,B43
364500805,CENTRAL MICHIGAN UNIVERSITY RESEARCH CORPORATION,48858-5596,48858,B43
562244952,CENTRAL PIEDMONT COMMUNITY COLLEGE SERVICES CORPORATION,28235-5009,28235,B41
111797166,CENTRAL YESHIVA TOMCHEI TIMIMIM LUBAVITZ OF THE U S A,11213-3619,11230,B43
610444671,CENTRE COLLEGE OF KENTUCKY,40422-1309,40422,B42
660380848,CENTRO DE ESTUDIOS AVANZADOS DE PUERTO RICO INC,00902-3970,902,B42
237428512,CG JUNG INSTITUTE OF NEW YORK INC,10016-2555,10016,B50
200403281,CHAFER THEOLOGICAL SEMINARY,87199-3580,87199,B50
990272261,CHAMINADE UNIVERSITY OF HONOLULU,96816-1510,96816,B43
473013519,CHAMPION CHRISTIAN COLLEGE INC,71913-3531,71913,B43
030220266,CHAMPLAIN COLLEGE INC,05401-3902,5401,B42
986001062,CHANCELLOR MASTERS & SCHOLARS OF THE UNIV OF OXFORD,00000-0000,0,B43
270023016,CHAPLAINCY INSTITUTE OF MAINE,04104-3833,4104,B50
951643992,CHAPMAN UNIVERSITY,92866-1005,92866,B43
956151774,CHARLES DREW UNIVERSITY OF MEDICINE & SCIENCE,90059-3051,90059,B50
274967732,CHARLES KOCH INSTITUTE,22201-2915,22201,B40
570474291,CHARLESTON SOUTHERN UNIVERSITY,29406-9121,29406,B43
821593798,CHARLIE LIFE AND LEADERSHIP ACADEMY,55402-2100,55402,B40
561995933,CHARLOTTE CHRISTIAN COLLEGE AND THEOLOGICAL SEMINARY,28206-7901,28205,B50
310840764,CHATFIELD COLLEGE,45118-9059,45118,B41
250717890,CHATHAM UNIVERSITY,15232-0000,15232,B43
043663198,CHAYA AYDEL SEMINARY INC,33009-4640,33009,B50
204542690,CHERRY HILL SEMINARY,29221-2804,29221,B50
205982770,CHESAPEAKE BIBLE COLLEGE & SEMINARY INC,21639-1602,21639,B50
231352626,CHESNUT HILL COLLEGE OF THE SISTERS OF ST JOSEPH,19118-2643,19118,B43
020267883,CHESTER COLLEGE OF NEW ENGLAND,03036-4305,3036,B42
274188208,CHEUNG KONG GRADUATE SCHOOL OF BUSINESS NORTH AMERICA INC,10169-0302,10169,B43
208757406,CHEYENNE ARAPAHO TRIBAL COLLEGE,,73096,B40
061804570,CHICAGO EAST UNIVERSITY,60641-2018,60641,B43
362123438,CHICAGO NATIONAL COLLEGE OF NAPRAPATHY INC,60641-4001,60641,B50
363005527,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY INC,60654-1700,60654,B50
810351900,CHIEF DULL KNIFE COLLEGE,59043-0098,59043,B41
611598683,CHILDRENS COLLEGE LEARNING CENTER CCLC,02126-2216,2126,B42
364303682,CHILDRENS PHYSICIAN GROUP PC,53201-1997,53201,B50
954366755,CHINA EVANGELICAL SEMINARY NORTH AMERICA -CESNA-,91790-2713,91790,B50
237065664,CHINA GRADUATE SCHOOL OF THEOLOGY INC,94042-1565,94042,B50
943130594,CHINESE CHURCHES ASSOCIATION OF RELIGIOUS EDUCATION,75002-5828,75002,B50
263260652,CHINESE INTERNATIONAL THEOLOGICAL SEMINARY,91731-3355,91731,B50
200551778,CHINESE SCHOOL OF SAN DIEGO,92123-1698,92123,B40
943200772,CHOC HALEV,94705-1818,94705,B50
954310815,CHONG SHIN UNIVERSITY USA,90010-1158,90010,B50
205896451,CHOOSE COLLEGE EDUCATIONALFOUNDATION INCORPORATED,94607-3501,94607,B42
560554199,CHOWAN UNIVERSITY,27855-1855,27855,B42
541449307,CHRIST COLLEGE INC,24651-9776,24651,B42
203823825,CHRIST COLLEGE OF NURSING ANDHEALTH SCIENCES,45219-2906,45219,B50
541031437,CHRISTENDOM EDUCATIONAL CORPORATION,22630-6534,22630,B42
562060526,CHRISTIAN ACCREDITING ASSOCIATION FOR THEOLOGICAL INSTITUTIONS INC,28304-3114,28304,B50
581447301,CHRISTIAN BIBLE COLLEGE OF ROCKY MOUNT INC,27804-6968,27804,B50
620476666,CHRISTIAN BROTHERS UNIVERSITY,38104-5519,38104,B43
580665885,CHRISTIAN COLLEGE OF GEORGIA INC,30666-0016,30666,B43
850394758,CHRISTIAN EDUCATION MINISTRIES,87111-1555,87111,B43
463683453,CHRISTIAN LIFE SCHOOL OF THEOLOGY GLOBAL INC,31909-5549,31909,B50
943109801,CHRISTIAN WITNESS THEOLOGICAL SEMINARY,95131-1708,95131,B50
541863192,CHRISTOPHER NEWPORT UNIVERSITY REAL ESTATE FOUNDATION INC,23606-2949,23606,B43
310889988,CHRISTS COMMUNITY IN COLLEGE HILL,45224-3028,45224,B41
237028544,CINCINNATI CHRISTIAN COLLEGE,45229-2115,45229,B42
310643552,CINCINNATI CHRISTIAN UNIVERSITY,45250-0300,45204,B43
316064854,CINCINNATI FOUNDATION FOR MORTUARY EDUCATION,45224-1462,45224,B42
464270721,CITIZEN UNIVERSITY,98122-3916,98122,B43
650000627,CITY COLLEGE INC,33309-3001,33309,B42
260030436,CITY SEMINARY OF NEW YORK,10026-0000,10026,B50
237421224,CITY UNIVERSITY OF SEATTLE,98121-1851,98121,B43
570314374,CLAFLIN UNIVERSITY,29115-6815,29115,B43
951664100,CLAREMONT GRADUATE UNIVERSITY,91711-5909,91711,B43
451171945,CLAREMONT LINCOLN UNIVERSITY,91711-4750,91711,B43
951664101,CLAREMONT MCKENNA COLLEGE,91711-3901,91711,B42
581825259,CLARK ATLANTA UNIVERSITY INC,30314-4358,30314,B43
880320324,CLARK COUNTY LAW FOUNDATION,89101-7093,89101,B50
042111203,CLARK UNIVERSITY,01610-1400,1610,B43
420680408,CLARKE UNIVERSITY OF DUBUQUE IOWA,52001-3117,52001,B43
363649217,CLARKSON COLLEGE,68131-2739,68131,B50
150543659,CLARKSON UNIVERSITY,13699-0001,13699,B43
616002351,CLEAR CREEK BAPTIST BIBLE COLLEGE,40977-9752,40977,B42
591113963,CLEARWATER CHRISTIAN COLLEGE,33759-4595,33759,B42
381393841,CLEARY UNIVERSITY,48105-2659,48105,B43
570933257,CLEMSON UNIVERSITY REAL ESTATE FOUNDATION INC,29633-1889,29633,B43
952988463,CLEVELAND CHIROPRACTIC COLLEGE OF LOS ANGELES,66210-1613,66210,B42
340714334,CLEVELAND INSTITUTE OF ART,44106-4349,44106,B43
340714600,CLEVELAND INSTITUTE OF MUSIC,44106-1705,44106,B43
446000294,CLEVELAND UNIVERSITY KANSAS CITY,66210-1613,66210,B42
570387838,CLINTON COLLEGE,29730-5152,29730,B41
471663154,CMCH ELEMENTARY INC,30342-2312,30342,B43
381870664,CMU MEDICAL EDUCATION PARTNERS,48602-5303,48602,B50
200716824,CO-OPERATIVE HOUSING AT THE UNIVERSITY OF VIRGINIA,22903-2913,22903,B43
812361556,CODE 2 COLLEGE,78660-3497,78660,B42
420686467,COE COLLEGE,52402-0000,52402,B43
800957275,COE COLLEGE,52402-5008,52402,B42
330606003,COHEN UNIVERSITY & THEOLOGICAL SEMINARY,90504-1025,90504,B43
570324916,COKER COLLEGE,29550-3742,29550,B42
461912064,COKER COLLEGE PROPERTIES,29550-3742,29550,B42
020222120,COLBY SAWYER COLLEGE,03257-7818,3257,B42
330419461,COLEMAN UNIVERSITY,92123-1506,92123,B43
150532078,COLGATE UNIVERSITY TREASURERS OFFICE,13346-1338,13346,B43
263450374,COLLEGE & CAREER CONNECTIONS,20019-5003,20019,B42
454124456,COLLEGE ACCELERATION NETWORK CORP,46260-2101,46260,B42
271441054,COLLEGE ACCESS CENTER OF JACKSON INC,49201-1457,49201,B42
261560207,COLLEGE ACCESS GRANTED,92656-1929,92656,B42
208371402,COLLEGE ACCESS PLAN,91104-5058,91104,B42
453752661,COLLEGE ADMISSIONS MADE POSSIBLE,35212-2507,35212,B42
263740964,COLLEGE AID PROFESSIONALS OF PENNSYLVANIA INC,18049-4017,18049,B42
262340212,COLLEGE AND CAREER PATHWAYS,20782-0000,20782,B42
300262455,COLLEGE APPLICATION EDUCATION PROJECT INC,01905-0171,1905,B42
474670026,COLLEGE BEYOND,70130-3930,70130,B42
271997517,COLLEGE BOUND,85205-4057,85205,B42
464317438,COLLEGE BOUND ACADEMY INC,74129-4420,74129,B42
300839064,COLLEGE BOUND ATHLETES INC,92108-1739,92123,B42
204811544,COLLEGE BOUND OPPORTUNITIES,60015-3581,60015,B42
451215081,COLLEGE BRIDGE INC,91745-3505,91745,B42
352116063,COLLEGE CAREER CENTER CONSORTIUM INC,46227-3630,46227,B42
383975568,COLLEGE CONFERENCE OF ILLINOIS AND WISCONSIN,60540-4607,60540,B42
465280397,COLLEGE CRYPTOCURRENCY NETWORK,48104-3564,48104,B42
263161884,COLLEGE DREAMS INC,97526-1670,97526,B42
901006178,COLLEGE EDGE INC,10471-3310,10471,B42
271870108,COLLEGE FOR CERTAIN INC,94606-5232,94606,B42
381550064,COLLEGE FOR CREATIVE STUDIES,48202-4048,48202,B42
900755265,COLLEGE FOR ME - ANDROSCOGGIN,04240-3536,4240,B42
474425987,COLLEGE FOR SOCIAL INNOVATION INC,02111-2651,2111,B42
432003552,COLLEGE FORWARD,78653-3877,78653,B42
454202173,COLLEGE GIRL INC,21017-9401,21017,B42
201730126,COLLEGE HORIZONS,87041-1262,87041,B42
452104341,COLLEGE HUB OF SPARTANBURG COUNTY,29306-5167,29306,B42
461308864,COLLEGE INITIATIVE,72360-0033,72360,B42
262501435,COLLEGE IS COOL INC,20774-1664,20774,B42
208651702,COLLEGE IS REAL INC,94526-3880,94526,B42
465578549,COLLEGE MENTORING EXPERIENCE,60644-4660,60644,B42
208955110,COLLEGE MINISTRIES OF VIRGINIA,23228-9705,23228,B42
460933923,COLLEGE MOMENTUM INC,78233-3117,78233,B42
270342896,COLLEGE OF ADAPTIVE ARTS,95070-5640,95070,B42
742016083,COLLEGE OF BIBLICAL STUDIES HOUSTON,77036-3298,77036,B43
462038002,COLLEGE OF GOVERNOR FRENCH,62220-1503,62220,B42
910947274,COLLEGE OF MEDICAL EDUCATION,98402-2523,98402,B50
471994752,COLLEGE OF MISSIONARY AVIATION INC,32656-1033,32656,B42
131740445,COLLEGE OF MOUNT SAINT VINCENT,10471-1046,10471,B43
237179567,COLLEGE OF MOUNT ST JOSEPH,45233-1669,45233,B43
131740447,COLLEGE OF NEW ROCHELLE,10805-2330,10805,B43
042225850,COLLEGE OF OUR LADY OF THE ELMS,01013-2837,1013,B43
221529785,COLLEGE OF SAINT ELIZABETH,07960-6923,7960,B43
141338371,COLLEGE OF SAINT ROSE,12203-1400,12203,B43
410969244,COLLEGE OF ST BENEDICT BUSINESS OFF,56374-2001,56374,B42
030213180,COLLEGE OF ST JOSEPH,05701-3815,5701,B43
470424785,COLLEGE OF ST MARY,68106-2606,68106,B42
410698301,COLLEGE OF ST SCHOLASTICA INC,55811-4199,55811,B43
133006734,COLLEGE OF STATEN ISLAND ALUMNI ASSN INC,10314-6609,10314,B42
237032625,COLLEGE OF THE ATLANTIC,04609-1136,4609,B42
042103558,COLLEGE OF THE HOLY CROSS,01610-2322,1610,B42
391773613,COLLEGE OF THE MENOMINEE NATION,54135-1179,54135,B41
440556862,COLLEGE OF THE OZARKS,65726-0017,65726,B42
616000126,COLLEGE OF THE SCRIPTURES INC,40261-0027,40261,B42
237022431,COLLEGE OF VISUAL ARTS,55305-0000,55305,B42
340714654,COLLEGE OF WOOSTER,44691-0000,44691,B42
205951778,COLLEGE OUTREACH USA INC,34761-3359,34761,B42
462980755,COLLEGE PARK ACADEMY INC,20737-0000,20737,B42
463232848,COLLEGE PARK ACADEMY PLUS INC,,20783,B42
592305463,COLLEGE PARK TOWERS II INC,38120-9475,38120,B42
471203288,COLLEGE PARK TUMBLEWEEDS GYMNASTICS INC,30337-2612,30337,B42
411968798,COLLEGE POSSIBLE,55104-1753,55104,B42
341568219,COLLEGE PROPERTIES OF SOUTHWEST FLORIDA INC,44074-1057,44074,B42
562662055,COLLEGE STUDENTS MINISTRY,,44314,B42
203881302,COLLEGE TRANSITION CONNECTION INC,29407-6322,29407,B42
462470807,COLLEGE UNBOUND,02905-2340,2905,B40
911948115,COLLEGE YEAR IN ATHENS INC,02139-0010,2139,B42
043347018,COLLEGE YEAR IN ATHENS INC,02139-0010,2139,B42
270869586,COLLEGE-READY PROMISE,90015-2212,90015,B42
262280176,COLLEGE2CORPORATE INC,83442-5123,83442,B42
270641806,COLLEGEANYWHERE,08012-0000,8012,B42
460623034,COLLEGECOMMUNITYCAREER INC,77469-2065,77469,B42
262623205,COLLEGEPATH,33414-3194,33414,B42
113682703,COLLEGES OF THE FENWAY INC,02215-5395,2215,B42
204269017,COLLEGES THAT CHANGE LIVES INC,94121-2423,94121,B42
010738849,COLLEGESURVIVALSKILLS ORG,94937-1134,94937,B42
204499806,COLLEGETRACKS,20910-3928,20910,B42
236299938,COLLEGEVILLE FIRE COMPANY NO 1,19426-0000,19426,B42
840442429,COLORADO CHRISTIAN UNIVERSITY,80226-2824,80226,B43
840402510,COLORADO COLLEGE TH,80903-3243,80903,B43
611643158,COLORADO FREE BIBLE COLLEGE,80905-1114,80905,B42
840404231,COLORADO SEMINARY,80210-4711,80210,B50
205470086,COLORADO SPRINGS EARLY COLLEGES,80525-3405,80525,B42
840600653,COLORADO STATE UNIVERSITY RESEARCH FOUNDATION,80526-1893,80526,B43
208434503,COLORADO STATE UNIVERSITY VENTURESINC,80522-0483,80522,B43
841512831,COLORADO THEOLOGICAL SEMINARY,32744-0549,32744,B50
570324915,COLUMBIA COLLEGE,29203-5949,29203,B42
430655867,COLUMBIA COLLEGE,65216-1000,65216,B43
366112087,COLUMBIA COLLEGE,60605-1900,60605,B43
952077629,COLUMBIA COLLEGE,91356-1411,91356,B42
391596986,COLUMBIA COLLEGE OF NURSING INC,53212-1082,53212,B50
943141050,COLUMBIA EVANGELICAL SEMINARY,98022-8467,98022,B50
570352247,COLUMBIA INTERNATIONAL UNIVERSITY,29203-1513,29203,B50
135598093,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,10027-7922,10027,B43
310820394,COLUMBUS COLLEGE OF ART & DESIGN,43215-3808,43215,B42
452459482,COLUMBUS COLLEGIATE ACADEMY - WEST,43223-1310,43223,B43
331049177,COMMISSION MINISTERS NETWORK,78029-1002,78029,B50
562476881,COMMISSION ON ACCREDITING OF THE ASSOCIATION OF THEOLOGICAL SCHOOLS,15275-1110,15275,B50
205275457,COMMONWEALTH COLLEGE ACCESS NETWORK,24112-2715,24112,B42
760252589,COMMONWEALTH INSTITUTE OF FUNERAL SERVICE,77090-5918,77090,B41
330620701,COMMUNITY CHRISTIAN COLLEGE,92374-4970,92374,B41
800223940,COMMUNITY COLLAGE-ARTS BASED PRODUCTIONS,94114-3410,94114,B41
472240289,COMMUNITY COLLEGES OF THE APPALACHIAN REGION,29670-0587,29670,B41
472654761,COMMUNITY HIGHERED INSTITUTE,74145-1119,72201,B42
753073372,COMMUNITY TECHNOLOGICAL INSTITUTE OF MIAMI INC,33135-4916,33135,B43
311817233,COMMUNITY UNITED SERVICES INC,31401-4962,31401,B43
651224722,COMPEL THEM TO COME INC,53217-3886,53217,B50
264789471,COMPLETE COLLEGE AMERICA INC,47591-1504,47591,B42
131740448,CONCORDIA COLLEGE AT BRONXVILLE,10708-1923,10708,B42
410693977,CONCORDIA COLLEGE CORPORATION,56562-0001,56562,B42
930391563,CONCORDIA UNIVERSITY,,97211,B43
362191242,CONCORDIA UNIVERSITY,60305-1402,60305,B43
470378777,CONCORDIA UNIVERSITY,68434-1500,68434,B50
381674800,CONCORDIA UNIVERSITY,48105-2750,48105,B43
952798775,CONCORDIA UNIVERSITY,92612-3203,92612,B43
390833608,CONCORDIA UNIVERSITY INC,,53097,B43
410696906,CONCORDIA UNIVERSITY ST PAUL,55104-5494,55104,B43
741161941,CONCORDIA UNIVERSITY TEXAS,78726-1887,78726,B43
203467419,CONGO INITIATIVE USA INC,53022-0246,53022,B43
204781979,CONNECTED THE CALIFORNIA CENTER FOR COLLEGE AND CAREER,94704-1357,94704,B42
060646587,CONNECTICUT COLLEGE,06320-4125,6320,B43
741587603,CONROE BAPTIST THEOLOGICAL INSTITUTE,77056-6131,77056,B50
474205567,CONSORTIUM FOR ADVANCED STUDIES ABROAD,02912-9091,2912,B40
810613247,CONSORTIUM FOR UNDERGRADUATE LAW & JUSTICE PROGRAMS,07430-1623,7430,B40
570314380,CONVERSE COLLEGE,29302-1931,29302,B43
042596491,CONWAY SCHOOL OF LANDSCAPE DESIGN INC,01060-3687,1060,B50
860096776,COOK NATIVE AMERICAN MINISTRIES,85282-1118,85282,B43
135562985,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE AND ART,10003-7120,10003,B43
941312349,CORBAN UNIVERSITY,97317-9392,97317,B42
420680335,CORNELL COLLEGE,52314-1006,52314,B42
150532082,CORNELL UNIVERSITY,14850-2820,14850,B43
237044656,CORNERSTONE COLLEGE OF VIRGINIA,22404-0507,22404,B43
562454734,CORNERSTONE SEMINARY,94590-3306,94590,B50
381443369,CORNERSTONE UNIVERSITY,49525-5803,49525,B43
910916534,CORNISH COLLEGE OF THE ARTS,98121-2707,98121,B42
910236600,CORPORATION OF GONZAGA UNIVERSITY,99202-1762,99202,B43
236002304,CORPORATION OF HAVERFORD COLLEGE,19041-1336,19041,B42
042192687,CORPORATION OF THE NEW CHURCH THEOLOGICAL SCHOOL,94709-1323,94709,B50
251659759,CORRY HIGHER EDUCATION COUNCIL,16407-1626,16407,B40
432108283,COSHOCTON C A R E S COLLEGE ACCESS PROGRAM,43812-2742,43812,B42
470376623,COTNER COLLEGE,68510-2467,68510,B42
440545271,COTTEY COLLEGE,64772-2763,64772,B41
811331776,COUNCIL ON GRADUATE STUDIES IN RELIGION INC,46637-1345,46637,B50
430719506,COVENANT COLLEGE INC,30750-4100,30750,B43
320269507,COVENANT EVANGELICAL THEOLOGICAL SEMINARY INC,32707-0000,32707,B50
562278236,COVENANT THEOLOGICAL SEMINARY,27835-1177,27835,B50
272900483,COVENANT UNIVERSITY AND COMMUNITY MINISTRIES,44106-1717,44106,B43
581554537,COVINGTON THEOLOGICAL SEMINARY INC,30741-0176,30741,B50
475148345,COX COLLEGE,65802-1917,65802,B42
813389623,CREDENTIAL ENGINE INC,20036-4914,20036,B40
470376583,CREIGHTON UNIVERSITY,68178-0133,68178,B43
464133006,CRESTONE COLLEGE OF STRUCTURAL INTEGRATION,81131-0787,81131,B42
626001209,CRICHTON COLLEGE,,38111,B42
756114836,CRISWELL COLLEGE,75246-1537,75246,B42
272404994,CROSS TO CROWN MINISTRIES INC,80919-4403,80919,B40
311048513,CROSSROADS BIBLE COLLEGE INC,46268-6124,46268,B42
410789402,CROSSROADS COLLEGE,55902-2671,55902,B42
912052472,CROSSROADS GLOBAL INITIATIVE INC,77433-5394,77433,B40
320258071,CROSSROADS LEAGUE INC,44011-3474,44011,B42
710462177,CROWLEYS RIDGE COLLEGE,72450-9726,72450,B41
621504678,CROWN COLLEGE,75251-1330,37849,B43
410693968,CROWN COLLEGE,55375-9002,55375,B43
272945207,CTS FOUNDATION INC,75070-6703,75070,B50
060653264,CULINARY INSTITUTE OF AMERICA,12538-1430,12538,B42
430610813,CULVER STOCKTON COLLEGE,63435-1257,63435,B42
620599339,CUMBERLAND UNIVERSITY,37087-3408,37087,B43
550792184,CUMBERLAND UNIVERSITY & REFORMED SEMINARY,28305-5478,28305,B43
954577111,CURENTUR INSTITUTE,90210-4439,90210,B50
042199867,CURRY COLLEGE,02186-2302,2186,B43
953580016,CURTAIN RAISERS OF THE CLAREMONT COLLEGES,91711-2508,91711,B42
132879769,CV STARR RESEARCH FOUNDATION AT THE COOPER UNION FOR THE ADVANCEMENT,10003-7120,10003,B42
941746464,D-Q UNIVERSITY,95617-0409,95617,B41
160759798,DAEMEN COLLEGE,14226-3592,14226,B43
462438676,DAEMEN COLLEGE PHYSICAL THERAPY INC,14226-3544,14226,B42
460224589,DAKOTA WESLEYAN UNIVERSITY,57301-4358,57301,B43
986001098,DALHOUSIE UNIVERSITY,00000-0000,0,B43
756001300,DALLAS BAPTIST UNIVERSITY,75211-6700,75211,B43
752760831,DALLAS INTERNATIONAL UNIVERSITY,75236-5629,75236,B50
750827421,DALLAS THEOLOGICAL SEMINARY,75204-6411,75204,B50
630328640,DANIEL PAYNE COLLEGE INC,35203-1004,35203,B42
202447027,DARKE COUNTY COLLEGE ACCESS PROGRAM,45331-0223,45331,B42
911538366,DARTMOUTH CLUB OF WESTERN WASHINGTON,98101-3264,98101,B43
161292244,DARTMOUTH COLLEGE ALUMNI CLUB OF ROCHESTER NY,14618-2718,14618,B43
381945965,DAVENPORT UNIVERSITY,49512-9396,49512,B43
560529961,DAVIDSON COLLEGE,28035-7162,28035,B42
550357021,DAVIS & ELKINS COLLEGE,26241-0000,26241,B42
156019050,DAVIS COLLEGE,13790-2714,13790,B42
311732723,DAYSPRING BIBLE COLLEGE AND SEMINARY INC,60047-1626,60047,B43
042104149,DEAN COLLEGE,02038-1941,2038,B42
956137481,DEEP SPRINGS CORPORATION,89010-9712,89010,B41
474836437,DEEP UNIVERSITY FOUNDATION INC,53517-9637,53517,B40
344430762,DEFIANCE COLLEGE,43512-1610,43512,B43
522027415,DELAWARE COLLEGE OF ART AND DESIGN,19801-3007,19801,B41
510305893,DELAWARE STATE COLLEGE,19901-2202,19901,B43
233057445,DELAWARE VALLEY CHAPTER OF COLLEGE AND RESEARCH LIBARIES,19101-8731,19101,B42
231352665,DELAWARE VALLEY COLLEGE OF SCIENCE AND AGRICULTURE,18901-2607,18901,B43
237367633,DELTA COLLEGE FOUNDATION,95207-6304,95207,B41
314379459,DENISON UNIVERSITY,43023-0734,43023,B42
316024390,DENISON UNIVERSITY RESEARCH FOUNDATION,43023-0810,43023,B42
841451894,DENVER INSTITUTE OF URBAN STUDIES,80201-6071,80201,B40
362167048,DEPAUL UNIVERSITY,60604-2201,60604,B43
350869045,DEPAUW UNIVERSITY,46135-0037,46135,B42
420730347,DES MOINES UNIVERSITY OSTEOPATHIC MEDICAL CENTER,50312-4198,50312,B50
231653718,DESALES UNIVERSITY,18034-9565,18034,B43
660540331,DESARROLLOS UNIVERSITARIOS INC,00925-2166,925,B43
262762411,DETROIT COLLEGE PROMISE,48025-4518,48025,B42
411407214,DETROIT LAKES AREA COLLEGE FOUNDATION,56501-2643,56501,B41
